rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
17554	WASL	Wiskott-Aldrich syndrome-like	419511	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17555	WBP1	WW domain binding protein 1	214047	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17556	WBP11	WW domain binding protein 11	553818	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17557	WBP2	WW domain binding protein 2	181419	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17558	WBP2NL	WBP2 N-terminal like	269756	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17559	WBP4	WW domain binding protein 4 (formin binding protein 21)	330109	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17560	WBP5	WW domain binding protein 5	88911	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17561	WBSCR16	Williams-Beuren syndrome chromosome region 16	141707	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17562	WBSCR22	Williams Beuren syndrome chromosome region 22	252830	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17563	WBSCR27	Williams Beuren syndrome chromosome region 27	206468	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17564	WDFY1	WD repeat and FYVE domain containing 1	360806	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17565	WDR12	WD repeat domain 12	374607	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17566	WDR13	WD repeat domain 13	389965	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17567	WDR16	WD repeat domain 16	543026	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17568	WDR17	WD repeat domain 17	1152585	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17569	WDR18	WD repeat domain 18	250628	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17570	WDR20	WD repeat domain 20	508550	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17571	WDR24	WD repeat domain 24	579315	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17572	WDR25	WD repeat domain 25	469400	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17573	WDR26	WD repeat domain 26	456682	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17574	WDR3	WD repeat domain 3	829845	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17575	WDR31	WD repeat domain 31	322619	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17576	WDR34	WD repeat domain 34	384565	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17577	WDR35	WD repeat domain 35	1027185	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17578	WDR37	WD repeat domain 37	433895	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17579	WDR38	WD repeat domain 38	256650	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17580	WDR4	WD repeat domain 4	286480	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17581	WDR41	WD repeat domain 41	405038	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17582	WDR45L	WDR45-like	303845	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17583	WDR47	WD repeat domain 47	803273	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17584	WDR48	WD repeat domain 48	597029	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17585	WDR49	WD repeat domain 49	606402	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17586	WDR5	WD repeat domain 5	299131	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17587	WDR52	WD repeat domain 52	855369	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17588	WDR53	WD repeat domain 53	307053	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17589	WDR54	WD repeat domain 54	294603	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17590	WDR55	WD repeat domain 55	329557	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17591	WDR5B	WD repeat domain 5B	282151	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17592	WDR6	WD repeat domain 6	966099	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17593	WDR60	WD repeat domain 60	826891	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17594	WDR62	WD repeat domain 62	1261332	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17595	WDR65	WD repeat domain 65	604755	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17596	WDR67	WD repeat domain 67	901845	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17597	WDR69	WD repeat domain 69	367432	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17598	WDR7	WD repeat domain 7	1294105	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17599	WDR77	WD repeat domain 77	263467	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17600	WDR8	WD repeat domain 8	392099	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17601	WDR85	WD repeat domain 85	343604	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17602	WDR89	WD repeat domain 89	330464	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17603	WDR93	WD repeat domain 93	600960	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17604	WDSUB1	WD repeat, sterile alpha motif and U-box domain containing 1	412720	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17605	WDTC1	WD and tetratricopeptide repeats 1	590102	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17606	WFDC1	WAP four-disulfide core domain 1	138667	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17607	WFDC10A	WAP four-disulfide core domain 10A	70059	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17608	WFDC10B	WAP four-disulfide core domain 10B	106670	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17609	WFDC12	WAP four-disulfide core domain 12	98427	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17610	WFDC2	WAP four-disulfide core domain 2	91106	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17611	WFDC5	WAP four-disulfide core domain 5	109009	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17612	WFDC6	WAP four-disulfide core domain 6	77259	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17613	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	273311	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17614	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules	371704	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17615	WHSC1	Wolf-Hirschhorn syndrome candidate 1	1192917	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17616	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	1270905	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17617	WHSC2	Wolf-Hirschhorn syndrome candidate 2	361189	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17618	WIBG	within bgcn homolog (Drosophila)	165838	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17619	WIPF1	WAS/WASL interacting protein family, member 1	435724	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17620	WIPF2	WAS/WASL interacting protein family, member 2	382317	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17621	WIPF3	WAS/WASL interacting protein family, member 3	220213	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17622	WIPI2	WD repeat domain, phosphoinositide interacting 2	389371	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17623	WISP2	WNT1 inducible signaling pathway protein 2	184231	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17624	WIZ	widely interspaced zinc finger motifs	579462	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17625	WNT10B	wingless-type MMTV integration site family, member 10B	294659	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17626	WNT16	wingless-type MMTV integration site family, member 16	327999	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17627	WNT3A	wingless-type MMTV integration site family, member 3A	258815	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17628	WNT4	wingless-type MMTV integration site family, member 4	280768	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17629	WNT5A	wingless-type MMTV integration site family, member 5A	255045	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17630	WNT6	wingless-type MMTV integration site family, member 6	163011	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17631	WNT7A	wingless-type MMTV integration site family, member 7A	301598	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17632	WNT7B	wingless-type MMTV integration site family, member 7B	298468	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17633	WNT8B	wingless-type MMTV integration site family, member 8B	257201	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17634	WRAP53	WD repeat containing, antisense to TP53	476943	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17635	WRB	tryptophan rich basic protein	152887	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17636	WRNIP1	Werner helicase interacting protein 1	407494	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17637	WSB1	WD repeat and SOCS box-containing 1	368466	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17638	WSB2	WD repeat and SOCS box-containing 2	349222	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17639	WSCD1	WSC domain containing 1	441764	0	0	0	2	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17640	WTAP	Wilms tumor 1 associated protein	345755	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17641	WTIP	Wilms tumor 1 interacting protein	184219	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17642	WWOX	WW domain containing oxidoreductase	348460	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17643	WWP1	WW domain containing E3 ubiquitin protein ligase 1	808798	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17644	WWTR1	WW domain containing transcription regulator 1	322859	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17645	XAF1	XIAP associated factor 1	262798	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17646	XAGE3	X antigen family, member 3	99257	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17647	XAGE5	X antigen family, member 5	96866	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17648	XBP1	X-box binding protein 1	198885	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17649	XCL2	chemokine (C motif) ligand 2	100344	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17650	XG	Xg blood group	147196	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17651	XIAP	X-linked inhibitor of apoptosis	428781	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17652	XKR3	XK, Kell blood group complex subunit-related family, member 3	283982	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17653	XKR5	XK, Kell blood group complex subunit-related family, member 5	199554	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17654	XKR8	XK, Kell blood group complex subunit-related family, member 8	249826	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17655	XKRX	XK, Kell blood group complex subunit-related, X-linked	385429	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17656	XPA	xeroderma pigmentosum, complementation group A	222877	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17657	XPC	xeroderma pigmentosum, complementation group C	473788	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17658	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	545293	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17659	XPNPEP3	X-prolyl aminopeptidase (aminopeptidase P) 3, putative	442397	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17660	XPO1	exportin 1 (CRM1 homolog, yeast)	936044	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17661	XPO5	exportin 5	999820	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17662	XPO6	exportin 6	971774	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17663	XPO7	exportin 7	932657	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17664	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	844660	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17665	XPR1	xenotropic and polytropic retrovirus receptor	606853	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17666	XRCC2	X-ray repair complementing defective repair in Chinese hamster cells 2	241965	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17667	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	159738	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17668	XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4	291468	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17669	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)	529445	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17670	XRCC6BP1	XRCC6 binding protein 1	205275	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17671	XRN1	5'-3' exoribonuclease 1	1488851	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17672	XRN2	5'-3' exoribonuclease 2	817658	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17673	YAF2	YY1 associated factor 2	123089	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17674	YAP1	Yes-associated protein 1, 65kDa	397327	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17675	YARS	tyrosyl-tRNA synthetase	463834	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17676	YBX1	Y box binding protein 1	235200	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17677	YEATS4	YEATS domain containing 4	201250	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17678	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	473808	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17679	YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	252249	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17680	YIF1B	Yip1 interacting factor homolog B (S. cerevisiae)	248594	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17681	YIPF1	Yip1 domain family, member 1	269698	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17682	YIPF2	Yip1 domain family, member 2	267211	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17683	YIPF3	Yip1 domain family, member 3	296779	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17684	YIPF7	Yip1 domain family, member 7	194800	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17685	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	175815	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17686	YPEL1	yippee-like 1 (Drosophila)	101431	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17687	YPEL2	yippee-like 2 (Drosophila)	106406	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17688	YPEL3	yippee-like 3 (Drosophila)	133024	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17689	YPEL4	yippee-like 4 (Drosophila)	90589	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17690	YPEL5	yippee-like 5 (Drosophila)	105842	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17691	YRDC	yrdC domain containing (E. coli)	132161	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17692	YSK4	yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)	1139420	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17693	YTHDC2	YTH domain containing 2	1208472	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17694	YTHDF1	YTH domain family, member 1	472324	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17695	YTHDF2	YTH domain family, member 2	492638	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17696	YTHDF3	YTH domain family, member 3	490270	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17697	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	215363	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17698	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	212767	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17699	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	214346	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17700	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	214498	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17701	ZACN	zinc activated ligand-gated ion channel	348341	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17702	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	285976	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17703	ZAN	zonadhesin	2223047	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17704	ZBED4	zinc finger, BED-type containing 4	991960	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17705	ZBTB1	zinc finger and BTB domain containing 1	586786	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17706	ZBTB11	zinc finger and BTB domain containing 11	898525	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17707	ZBTB16	zinc finger and BTB domain containing 16	578745	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17708	ZBTB22	zinc finger and BTB domain containing 22	539088	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17709	ZBTB26	zinc finger and BTB domain containing 26	375980	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17710	ZBTB3	zinc finger and BTB domain containing 3	490360	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17711	ZBTB32	zinc finger and BTB domain containing 32	419787	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17712	ZBTB4	zinc finger and BTB domain containing 4	813391	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17713	ZBTB41	zinc finger and BTB domain containing 41	764038	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17714	ZBTB43	zinc finger and BTB domain containing 43	397421	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17715	ZBTB44	zinc finger and BTB domain containing 44	384412	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17716	ZBTB45	zinc finger and BTB domain containing 45	415165	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17717	ZBTB47	zinc finger and BTB domain containing 47	248323	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17718	ZBTB48	zinc finger and BTB domain containing 48	591605	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17719	ZBTB49	zinc finger and BTB domain containing 49	658242	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17720	ZBTB5	zinc finger and BTB domain containing 5	576642	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17721	ZBTB6	zinc finger and BTB domain containing 6	361771	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17722	ZBTB7A	zinc finger and BTB domain containing 7A	321490	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17723	ZBTB8A	zinc finger and BTB domain containing 8A	378610	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17724	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	160487	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17725	ZBTB9	zinc finger and BTB domain containing 9	403542	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17726	ZC3H10	zinc finger CCCH-type containing 10	369986	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17727	ZC3H11A	zinc finger CCCH-type containing 11A	706321	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17728	ZC3H12C	zinc finger CCCH-type containing 12C	732393	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17729	ZC3H12D	zinc finger CCCH-type containing 12D	212734	0	0	0	1	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17730	ZC3H14	zinc finger CCCH-type containing 14	749469	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17731	ZC3H3	zinc finger CCCH-type containing 3	713296	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17732	ZC3H4	zinc finger CCCH-type containing 4	954523	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17733	ZC3H6	zinc finger CCCH-type containing 6	905002	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17734	ZC3H7A	zinc finger CCCH-type containing 7A	849864	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17735	ZC3H7B	zinc finger CCCH-type containing 7B	848489	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
17736	ZC3H8	zinc finger CCCH-type containing 8	225296	0	0	0	0	0	0	0	0	0	0	1.000	1.000	NaN	NaN	NaN	1.000	1.000
